well,date,time,elapsed,head(ft),buildup,buildup(m)
PZ-1-2,8/28/2024,13:45:00,0.00000,33.55245077,0,0
PZ-1-2,8/28/2024,14:00:00,0.01042,33.44555006,0.10690071,0.032581746
PZ-1-2,8/28/2024,14:15:00,0.02083,33.31158243,0.24086834,0.073413087
PZ-1-2,8/28/2024,14:45:00,0.04167,33.15674866,0.39570211,0.120604118
PZ-1-2,8/28/2024,15:15:00,0.06250,33.03288601,0.51956476,0.158355611
PW-1-2,8/28/2024,13:45:00,0.00000,19.24221409,0,0
PW-1-2,8/28/2024,14:00:18,0.01063,19.19081426,0.05139983,0.015665904
PW-1-2,8/28/2024,14:15:18,0.02104,19.08555398,0.15666011,0.047747671
PW-1-2,8/28/2024,14:45:18,0.04188,18.90353298,0.33868111,0.103224965
PW-1-2,8/28/2024,15:15:18,0.06271,18.76622435,0.47598974,0.145074593
PW-2-2,8/28/2024,13:45:00,0.00000,31.23864929,0,0
PW-2-2,8/28/2024,14:00:00,0.01042,31.11261036,0.12603893,0.038414791
PW-2-2,8/28/2024,14:15:00,0.02083,31.01883301,0.21981628,0.066996733
PW-2-2,8/28/2024,14:45:00,0.04167,30.92715541,0.31149388,0.094938702
PW-2-2,8/28/2024,15:15:00,0.06250,30.8721904,0.36645889,0.111691219
PMW-14,8/28/2024,13:45:00,0.00000,28.43878044,0,0
PMW-14,8/28/2024,14:00:09,0.01052,27.61775023,0.82103021,0.250237796
PMW-14,8/28/2024,14:15:09,0.02094,27.31509274,1.1236877,0.342483298
PMW-14,8/28/2024,14:45:09,0.04177,27.09881976,1.33996068,0.408400085
PMW-14,8/28/2024,15:15:09,0.06260,26.9899697,1.44881074,0.441575965
PMW-4,8/28/2024,13:45:00,0.00000,31.45970136,0,0
PMW-4,8/28/2024,14:00:12,0.01056,31.45231947,0.00738189,0.00224989
PMW-4,8/28/2024,14:15:12,0.02097,31.44275035,0.01695101,0.005166416
PMW-4,8/28/2024,14:45:12,0.04181,31.40248351,0.05721785,0.01743915
PMW-4,8/28/2024,15:15:12,0.06264,31.34939952,0.11030184,0.03361836
PMW-5,8/28/2024,13:45:00,0.00000,7.97900288,0,0
PMW-5,8/28/2024,14:00:00,0.01042,7.98556456,0.00656168,0.001999902
PMW-5,8/28/2024,14:15:00,0.02083,8.05118136,0.07217848,0.021998927
PMW-5,8/28/2024,14:45:00,0.04167,8.22834672,0.24934384,0.075996294
PMW-5,8/28/2024,15:15:00,0.06250,8.33661444,0.35761156,0.108994685
PMW-6,8/28/2024,13:45:00,0.00000,8.91732312,0,0
PMW-6,8/28/2024,14:00:00,0.01042,9.11089268,0.19356956,0.058997123
PMW-6,8/28/2024,14:15:00,0.02083,9.47834676,0.56102364,0.170991661
PMW-6,8/28/2024,14:45:00,0.04167,9.80643076,0.88910764,0.270986785
PMW-6,8/28/2024,15:15:00,0.06250,9.95406856,1.03674544,0.31598459
PMW-9,8/28/2024,13:45:00,0.00000,4.5603676,0,0
PMW-9,8/28/2024,14:00:00,0.01042,4.56364844,0.00328084,0.000999951
PMW-9,8/28/2024,14:15:00,0.02083,4.56364844,0.00328084,0.000999951
PMW-9,8/28/2024,14:45:00,0.04167,4.56692928,0.00656168,0.001999902
PMW-9,8/28/2024,15:15:00,0.06250,4.57349096,0.01312336,0.003999805
PMW-10,8/28/2024,13:45:00,0.00000,9.92126016,0,0
PMW-10,8/28/2024,14:00:00,0.01042,9.93766436,0.0164042,0.004999756
PMW-10,8/28/2024,14:15:00,0.02083,10.0393704,0.11811024,0.035998244
PMW-10,8/28/2024,14:45:00,0.04167,10.30511844,0.38385828,0.116994294
PMW-10,8/28/2024,15:15:00,0.06250,10.47244128,0.55118112,0.167991807
OW24P,8/28/2024,13:45:00,0.00000,36.7224968,0,0
OW24P,8/28/2024,14:00:10,0.01053,36.71128726,0.01120954,0.003416501
OW24P,8/28/2024,14:15:10,0.02095,36.71128726,0.01120954,0.003416501
OW24P,8/28/2024,14:45:10,0.04178,36.71699593,0.00550087,0.001676583
OW24P,8/28/2024,15:15:10,0.06262,36.67731417,0.04518263,0.013770994
OW23P,8/28/2024,13:45:00,0.00000,44.03811383,0,0
OW23P,8/28/2024,14:00:25,0.01071,44.01542136,0.02269247,0.006916327
OW23P,8/28/2024,14:15:25,0.02112,43.96757577,0.07053806,0.021498952
OW23P,8/28/2024,14:45:25,0.04196,43.90980018,0.12831365,0.039108092
OW23P,8/28/2024,15:15:25,0.06279,43.86433594,0.17377789,0.052964916
OW17P,8/28/2024,13:45:00,0.00000,29.44996813,0,0
OW17P,8/28/2024,14:00:05,0.01042,29.41387889,0.03608924,0.010999464
OW17P,8/28/2024,14:15:05,0.02083,29.37751625,0.07245188,0.022082255
OW17P,8/28/2024,14:45:05,0.04167,29.32591957,0.12404856,0.037808156
OW17P,8/28/2024,15:15:05,0.06250,29.28625148,0.16371665,0.0498984
PZ-1-1,,,0.01042,,,0.011582767
PZ-1-1,,,0.02083,,,0.025582085
PZ-1-1,,,0.04167,,,0.051774142
PZ-1-1,,,0.06250,,,0.069109963
PZ-1-3,,,0.01042,,,0.009143554
PZ-1-3,,,0.02083,,,0.02438281
PZ-1-3,,,0.04167,,,0.051813472
PZ-1-3,,,0.06250,,,0.07314843
PW-2-1,,,0.01042,,,0.003999805
PW-2-1,,,0.02083,,,0.009249549
PW-2-1,,,0.04167,,,0.012692716
PW-2-1,,,0.06250,,,0.018212447
