well,date,time,elapsed,head(ft),buildup,buildup(m)
PZ-1,8/27/2024,9:45:00,0:00:00,33.65943896,0,0
PZ-1,8/27/2024,10:00:00,0:15:00,33.54288165,0.11655731,0.035524934
PZ-1,8/27/2024,10:15:00,0:30:00,33.40134621,0.25809275,0.078662831
PZ-1,8/27/2024,10:30:00,0:45:00,33.30283352,0.35660544,0.108688034
PW-1,8/27/2024,9:45:00,0:00:00,19.37226112,0,0
PW-1,8/27/2024,10:00:18,0:15:18,19.31876702,0.0534941,0.016304206
PW-1,8/27/2024,10:15:18,0:30:18,19.19867734,0.17358378,0.052905754
PW-1,8/27/2024,10:30:18,0:45:18,19.08446037,0.28780075,0.087717388
PMW-14,8/27/2024,9:45:00,0:00:00,28.38469852,0,0
PMW-14,8/27/2024,10:00:09,0:15:09,28.1730324,0.21166612,0.064512685
PMW-14,8/27/2024,10:15:09,0:30:09,28.06860326,0.31609526,0.096341134
PMW-14,8/27/2024,10:30:09,0:45:09,28.01555208,0.36914644,0.112510344
PMW-4,8/27/2024,9:45:00,0:00:00,31.57326763,0,0
PMW-4,8/27/2024,10:00:12,0:15:12,31.56496164,0.00830599,0.002531542
PMW-4,8/27/2024,10:15:12,0:30:12,31.53851807,0.03474956,0.010591149
PMW-4,8/27/2024,10:30:12,0:45:12,31.51820967,0.05505796,0.016780847
PMW-3,8/27/2024,9:45:00,0:00:00,36.30832356,0,0
PMW-3,8/27/2024,10:00:00,0:15:00,36.14392067,0.16440289,0.050107556
PMW-3,8/27/2024,10:15:00,0:30:00,36.04257552,0.26574804,0.08099605
PMW-3,8/27/2024,10:30:00,0:45:00,35.96511489,0.34320867,0.104604898
PMW-5,8/27/2024,9:45:00,0:00:00,7.90354356,0,0
PMW-5,8/27/2024,10:00:00,0:15:00,7.93307112,0.02952756,0.008999561
PMW-5,8/27/2024,10:15:00,0:30:00,8.01181128,0.10826772,0.032998391
PMW-5,8/27/2024,10:30:00,0:45:00,8.08398976,0.1804462,0.054997318
PMW-6,8/27/2024,9:45:00,0:00:00,8.86811052,0,0
PMW-6,8/27/2024,10:00:00,0:15:00,8.89763808,0.02952756,0.008999561
PMW-6,8/27/2024,10:15:00,0:30:00,8.99606328,0.12795276,0.038998098
PMW-6,8/27/2024,10:30:00,0:45:00,9.08136512,0.2132546,0.06499683
PMW-9,8/27/2024,9:45:00,0:00:00,5.2329398,0,0
PMW-9,8/27/2024,10:00:00,0:15:00,5.20997392,0.02296588,0.006999659
PMW-9,8/27/2024,10:15:00,0:30:00,5.18700804,0.04593176,0.013999317
PMW-9,8/27/2024,10:30:00,0:45:00,5.17060384,0.06233596,0.018999073
PMW-10,8/27/2024,9:45:00,0:00:00,9.84580084,0,0
PMW-10,8/27/2024,10:00:00,0:15:00,9.92126016,0.07545932,0.022998878
PMW-10,8/27/2024,10:15:00,0:30:00,10.1213914,0.27559056,0.083995904
PMW-10,8/27/2024,10:30:00,0:45:00,10.2690292,0.42322836,0.128993709
OW24P,8/27/2024,9:45:00,0:00:00,36.78256898,0,0
OW24P,8/27/2024,10:00:10,0:15:10,36.79330826,-0.01073928,-0.003273173
OW24P,8/27/2024,10:15:10,0:30:10,36.77447624,0.00809274,0.002466547
OW24P,8/27/2024,10:30:10,0:45:10,36.78100511,0.00156387,0.000476644
OW23P,8/27/2024,9:45:00,0:00:00,44.07260913,0,0
OW23P,8/27/2024,10:00:25,0:15:25,44.06873501,0.00387412,0.001180774
OW23P,8/27/2024,10:15:25,0:30:25,44.05980019,0.01280894,0.003903974
OW23P,8/27/2024,10:30:25,0:45:25,44.04877656,0.02383257,0.007263813
OW17P,8/27/2024,9:45:00,0:00:00,29.51218653,0,0
OW17P,8/27/2024,10:00:05,0:15:05,29.51695195,-0.00476542,-0.001452429
OW17P,8/27/2024,10:15:05,0:30:05,29.50757968,0.00460685,0.001404099
OW17P,8/27/2024,10:30:05,0:45:05,29.49699351,0.01519302,0.004630607
