time (day), concentration (ppb) 
0.0153,1.07E-02
0.0361,5.72E-03
0.0569,4.16E-03
0.0778,9.85E-03
0.0986,7.35E-03
0.1194,5.81E-03
0.1403,1.55E-02
0.1611,6.57E-02
0.1819,1.71E-01
0.2028,5.80E-01
0.2236,1.09E+00
0.2444,1.94E+00
0.2653,2.10E+00
0.2861,3.01E+00
0.3069,3.21E+00
0.3278,3.83E+00
0.3486,4.13E+00
0.3694,5.18E+00
0.3903,5.06E+00
0.4111,5.38E+00
0.4319,5.18E+00
0.4528,5.14E+00
0.4736,5.23E+00
0.4944,5.43E+00
0.5153,6.06E+00
0.5361,5.19E+00
0.5569,6.05E+00
0.5778,5.87E+00
0.5986,5.45E+00
0.6194,5.17E+00
0.6403,5.75E+00
0.6611,5.74E+00
0.6819,6.14E+00
0.7028,6.64E+00
0.7236,6.14E+00
0.7444,5.60E+00
0.7653,6.08E+00
0.7861,5.83E+00
0.8069,4.93E+00
0.8278,5.63E+00
0.8486,5.98E+00
0.8694,6.42E+00
0.9111,6.40E+00
0.9319,5.62E+00
0.9528,5.78E+00
0.9736,5.75E+00
0.9944,6.02E+00
1.0153,5.96E+00
1.0361,5.48E+00
1.0569,5.64E+00
1.0778,5.77E+00
1.0986,5.50E+00
1.1194,5.67E+00
1.1403,4.83E+00
1.1611,4.97E+00
1.1819,4.54E+00
1.2028,4.72E+00
1.2236,4.85E+00
1.2444,4.77E+00
1.2653,5.08E+00
1.2861,4.38E+00
1.3069,4.40E+00
1.3278,4.23E+00
1.3486,4.22E+00
1.3694,4.46E+00
1.3903,4.48E+00
1.4111,3.63E+00
1.4319,3.87E+00
1.4736,3.64E+00
1.4944,3.34E+00
1.5153,3.70E+00
1.5361,3.49E+00
1.5569,3.37E+00
1.5778,3.11E+00
1.5986,3.13E+00
1.6194,3.33E+00
1.6403,3.20E+00
1.6611,3.11E+00
1.6819,3.04E+00
1.7028,3.00E+00
1.7236,3.47E+00
1.7444,3.05E+00
1.7653,2.74E+00
1.7861,2.87E+00
1.8069,2.75E+00
1.8278,2.94E+00
1.8486,3.18E+00
1.8694,2.61E+00
1.8903,2.91E+00
1.9111,2.84E+00
1.9319,2.54E+00
1.9528,2.89E+00
1.9736,2.64E+00
1.9944,2.48E+00
2.0153,2.67E+00
2.0361,2.56E+00
2.0569,2.69E+00
2.0778,2.57E+00
2.0986,2.40E+00
2.1194,2.45E+00
2.1403,2.55E+00
2.1611,2.27E+00
2.1819,2.40E+00
2.2028,2.37E+00
2.2236,2.24E+00
2.2444,2.21E+00
2.2653,2.44E+00
2.2861,2.14E+00
2.3069,2.42E+00
2.3278,2.20E+00
2.3486,2.42E+00
2.3694,2.30E+00
2.3903,2.11E+00
2.4111,2.40E+00
2.4319,2.21E+00
2.4528,2.03E+00
2.4736,2.24E+00
2.4944,2.17E+00
2.5153,2.04E+00
2.5361,1.97E+00
2.5569,2.05E+00
2.5778,2.01E+00
2.5986,2.04E+00
2.6194,1.89E+00
2.6403,2.22E+00
2.6611,2.08E+00
2.7028,1.85E+00
2.7444,1.77E+00
2.7861,1.82E+00
2.8278,1.90E+00
2.9111,1.87E+00
2.9944,1.79E+00
3.0778,1.80E+00
3.2444,1.61E+00
3.4111,1.61E+00
3.5778,1.55E+00
3.7444,1.46E+00
3.9111,1.30E+00
4.0778,1.56E+00
4.2444,1.15E+00
4.4111,1.18E+00
4.5778,9.51E-01
4.7444,8.95E-01
4.9111,8.68E-01
5.0778,9.26E-01
5.2444,8.35E-01
5.4111,7.62E-01
5.5778,6.48E-01
5.7444,6.47E-01
5.9111,6.67E-01
5.9944,7.48E-01
6.0778,6.77E-01
6.1611,6.80E-01
6.2444,6.12E-01
6.3278,6.26E-01
6.4111,6.37E-01
6.4944,6.12E-01
6.5778,6.11E-01
6.6611,6.01E-01
6.7444,5.64E-01
6.8278,5.83E-01
6.9111,7.29E-01
6.9944,6.14E-01
7.0778,6.68E-01
7.1611,5.61E-01
7.2444,5.40E-01
7.3278,5.71E-01
7.4111,5.59E-01
7.4944,5.18E-01
7.5778,5.03E-01
7.6611,4.69E-01
7.7444,5.06E-01
7.8278,4.67E-01
7.9111,3.61E-01
7.9944,5.39E-01
8.0778,3.73E-01
8.1611,5.14E-01
8.2444,3.60E-01
8.3278,4.50E-01
8.4111,3.33E-01
8.4944,5.60E-01
8.5778,3.27E-01
8.6611,2.90E-01
8.7444,3.30E-01
8.8278,3.11E-01
8.9319,3.32E-01
9.0153,2.96E-01
9.0986,3.16E-01
9.1819,3.25E-01
9.2653,2.99E-01
9.3486,3.28E-01
9.4319,2.76E-01
9.5153,2.95E-01
9.6403,3.05E-01
