,sample,date,time,n_iter,df,cnc_uranine,area1,area2,area3,area4
0,MLAC.HZ.220914.1000_CorrectionData.txt,2022-09-14 10:00:00,0.0,15,1,0.005336468060336481,210.95429974651904,295.95210805380157,133.70414073702935,0.0
1,MLAC.HZ.220914.1030_CorrectionData.txt,2022-09-14 10:30:00,0.5,15,1,0.004025857952628823,159.1449692331184,268.2921074609994,172.06478247562524,154.28669631509058
2,MLAC.HZ.220914.1100_CorrectionData.txt,2022-09-14 11:00:00,1.0,15,1,0.006232607427752703,246.37931318071503,270.1534207857538,162.70473758426317,202.70642522617274
3,MLAC.HZ.220914.1130_CorrectionData.txt,2022-09-14 11:30:00,1.5,15,1,0.004199371520923511,166.0040814553356,291.04304093019795,164.2986349113659,217.94787187162274
4,MLAC.HZ.220914.1200_CorrectionData.txt,2022-09-14 12:00:00,2.0,15,1,0.0040375744619858996,159.6081310095874,313.69019152021855,202.34658119563304,246.00544560697776
5,MLAC.HZ.220914.1230_CorrectionData.txt,2022-09-14 12:30:00,2.5,15,1,0.004916113773935945,194.33740199121203,302.3559062938881,200.46845021375145,174.2685079825533
6,MLAC.HZ.220914.1300_CorrectionData.txt,2022-09-14 13:00:00,3.0,15,1,0.004691714157513533,185.46672883987821,368.66969299162537,233.3964643672761,293.61582442866325
7,MLAC.HZ.220914.1330_CorrectionData.txt,2022-09-14 13:30:00,3.5,15,1,0.0061927952653942075,244.8055106699957,278.94439952393765,175.5840421236072,199.44044295940108
8,MLAC.HZ.220914.1400_CorrectionData.txt,2022-09-14 14:00:00,4.0,15,1,0.011655799382980607,460.76186890314585,437.90961935852494,208.44021013873638,0.0
9,MLAC.HZ.220914.1430_CorrectionData.txt,2022-09-14 14:30:00,4.5,15,1,0.00427237305231429,168.88988284322855,297.2171371627178,193.1323957874381,226.627172314827
10,MLAC.HZ.220914.1500_CorrectionData.txt,2022-09-14 15:00:00,5.0,15,1,0.004673369711433329,184.74156010780052,257.91671593423536,204.3091793395532,244.72924355742896
11,MLAC.HZ.220914.1530_CorrectionData.txt,2022-09-14 15:30:00,5.5,15,1,0.012874016654247025,508.9188462322519,303.96283198990557,136.38196168150714,155.28212500153577
12,MLAC.HZ.220914.1600_CorrectionData.txt,2022-09-14 16:00:00,6.0,15,1,0.04286686026581405,1694.5568468625854,460.53916624695614,258.29765688414375,296.07699207825283
13,MLAC.HZ.220914.1630_CorrectionData.txt,2022-09-14 16:30:00,6.5,15,1,0.1302891548065192,5150.421047407535,515.7082549691204,144.81670880815756,252.49891268366866
14,MLAC.HZ.220914.1700_CorrectionData.txt,2022-09-14 17:00:00,7.0,15,1,0.32968991915085194,13032.872162186075,507.2629527624461,141.03428132933436,309.6836780503816
15,MLAC.HZ.220914.1730.10x_CorrectionData.txt,2022-09-14 17:30:00,7.5,15,11,0.6558017380545202,2356.754502648916,55.42933432231414,48.38412388308699,27.42898469747388
16,MLAC.HZ.220914.1800.10x_CorrectionData.txt,2022-09-14 18:00:00,8.0,15,11,1.1791368835668201,4237.463852763511,80.82385933223753,51.70042895304212,43.79557046019009
17,MLAC.HZ.220914.1830.10x_CorrectionData.txt,2022-09-14 18:30:00,8.5,15,11,1.7442491170713392,6268.307511038535,252.7506759672262,76.7989809982249,87.45945985029559
18,MLAC.HZ.220914.1900.10x_CorrectionData.txt,2022-09-14 19:00:00,9.0,15,11,2.7225216529758334,9783.925219906238,231.25535787894057,69.57924779301896,74.18248222361763
19,MLAC.HZ.220914.1930.10x_CorrectionData.txt,2022-09-14 19:30:00,9.5,15,11,4.056239574791217,14576.906901880137,343.77147126573703,77.14615594781428,118.78726481239129
20,MLAC.HZ.220914.2000.20x_CorrectionData.txt,2022-09-14 20:00:00,10.0,15,21,4.342624051360903,8174.616846265134,180.75104327833714,53.786609406187885,42.35864101309916
21,MLAC.HZ.220914.2030.20x_CorrectionData.txt,2022-09-14 20:30:00,10.5,15,21,4.727767628085877,8899.616554572862,198.75382281956576,51.46286538658274,61.227705295088455
22,MLAC.HZ.220914.2100.20x_CorrectionData.txt,2022-09-14 21:00:00,11.0,15,21,5.346782761300935,10064.859383844967,251.77727368347402,71.75833794281932,68.06016571646254
23,MLAC.HZ.220914.2130.20x_CorrectionData.txt,2022-09-14 21:30:00,11.5,15,21,5.864931545038667,11040.22997229986,235.92523933738937,56.54223929976338,62.409563681853804
24,MLAC.HZ.220914.2200.20x_CorrectionData.txt,2022-09-14 22:00:00,12.0,15,21,6.3403516518231875,11935.167495790061,430.92803206104793,129.92275572483476,147.52187049214305
25,MLAC.HZ.220914.2230.20x_CorrectionData.txt,2022-09-14 22:30:00,12.5,15,21,6.460131834890367,12160.643404081695,230.8459618091593,58.412376078924204,64.24398806558231
26,MLAC.HZ.220914.2300.20x_CorrectionData.txt,2022-09-14 23:00:00,13.0,15,21,6.876618753868009,12944.644262515832,209.87175648899623,47.073484870348395,58.15757753523769
27,MLAC.HZ.220914.2330.20x_CorrectionData.txt,2022-09-14 23:30:00,13.5,15,21,7.014026485641857,13203.30251745125,235.11369091481544,55.77758976637578,59.86696452710298
28,MLAC.HZ.220915.0000.20x_CorrectionData.txt,2022-09-15 00:00:00,14.0,15,21,7.066990841606105,13303.003369147415,278.7177231411019,68.99061092775419,93.61196647409716
29,MLAC.HZ.220915.0030.20x_CorrectionData.txt,2022-09-15 00:30:00,14.5,15,21,6.854203785461278,12902.450009414708,302.14919936838965,71.08816209307189,104.36154944873208
30,MLAC.HZ.220915.0100.20x_CorrectionData.txt,2022-09-15 01:00:00,15.0,15,21,6.7916228355537145,12784.646745462045,277.55067927327576,76.01267004118547,75.16149899926431
31,MLAC.HZ.220915.0130.20x_CorrectionData.txt,2022-09-15 01:30:00,15.5,15,21,7.02551766231616,13224.933670715767,224.09679472476975,39.730086322054206,59.9062315043038
32,MLAC.HZ.220915.0200.20x_CorrectionData.txt,2022-09-15 02:00:00,16.0,15,21,6.7026959705387315,12617.249558821122,255.8072526395362,57.52401050022722,80.5799321818391
33,MLAC.HZ.220915.0230.20x_CorrectionData.txt,2022-09-15 02:30:00,16.5,15,21,6.601540740538597,12426.83352522784,265.8293976498337,56.97140521036752,40.22064602238842
34,MLAC.HZ.220915.0300.20x_CorrectionData.txt,2022-09-15 03:00:00,17.0,15,21,6.44870080941278,12139.125480279405,179.53330836094764,35.375286716931875,32.867788349084826
35,MLAC.HZ.220915.0330.20x_CorrectionData.txt,2022-09-15 03:30:00,17.5,15,21,6.325916352502942,11907.994284476228,202.05013042296278,42.48280881822015,37.018494097006716
36,MLAC.HZ.220915.0400.20x_CorrectionData.txt,2022-09-15 04:00:00,18.0,15,21,5.912202425331794,11129.213344982301,2.04348601808131,3.459613045098526,3.0033040531114357
37,MLAC.HZ.220915.0430.20x_CorrectionData.txt,2022-09-15 04:30:00,18.5,15,21,6.184335379603218,11641.480261505718,234.768244586,54.36609258476709,69.810133519099
38,MLAC.HZ.220915.0500.20x_CorrectionData.txt,2022-09-15 05:00:00,19.0,15,21,6.012931229297614,11318.826668186062,257.6370391222405,50.210275162091854,79.74248618913097
39,MLAC.HZ.220915.0530.20x_CorrectionData.txt,2022-09-15 05:30:00,19.5,15,21,5.619835921149483,10578.85850834306,201.0432306124484,60.611270055430104,28.044214191550612
40,MLAC.HZ.220915.0600.20x_CorrectionData.txt,2022-09-15 06:00:00,20.0,15,21,5.674560069119432,10681.872017364745,276.8265958719371,80.1171213392249,93.89656256096478
41,MLAC.HZ.220915.0630.20x_CorrectionData.txt,2022-09-15 06:30:00,20.5,15,21,5.459394127241144,10276.840609529763,78.79036797052235,86.88945001391266,30.64639087897825
42,MLAC.HZ.220915.0700.20x_CorrectionData.txt,2022-09-15 07:00:00,21.0,15,21,5.4968755450624265,10347.396159796139,189.84664354054362,47.73494280151176,21.495444908420247
43,MLAC.HZ.220915.0730.20x_CorrectionData.txt,2022-09-15 07:30:00,21.5,15,21,5.634786670261086,10607.002009623971,193.5537526527165,33.540959094663116,28.181140966251576
44,MLAC.HZ.220915.0800.20x_CorrectionData.txt,2022-09-15 08:00:00,22.0,15,21,5.2272062439400075,9839.766858755205,277.6902437140383,72.29633001059332,87.05207467143882
45,MLAC.HZ.220915.0830.20x_CorrectionData.txt,2022-09-15 08:30:00,22.5,15,21,5.053232298089933,9512.275846008764,206.5164668065398,50.64103133651332,34.60239379273419
46,MLAC.HZ.220915.0900.20x_CorrectionData.txt,2022-09-15 09:00:00,23.0,15,21,4.954423754644593,9326.277248329081,208.61892432255064,43.154789236378306,46.558977880589154
47,MLAC.HZ.220915.0930.20x_CorrectionData.txt,2022-09-15 09:30:00,23.5,15,21,4.82946201119474,9091.047497592608,227.37272982084272,67.83518233099053,33.27588546305367
48,MLAC.HZ.220915.1000.20x_CorrectionData.txt,2022-09-15 10:00:00,24.0,15,21,4.961603617931562,9339.792724383506,193.2696296375234,48.296298487833376,79.24064526192461
49,MLAC.HZ.220915.1030.20x_CorrectionData.txt,2022-09-15 10:30:00,24.5,15,21,5.092619517333134,9586.418903787875,198.09149561972222,48.346110930366834,75.35532882297257
50,MLAC.HZ.220915.1100.20x_CorrectionData.txt,2022-09-15 11:00:00,25.0,15,21,4.306621611167661,8106.845344373761,177.3176012777561,41.86797066624656,86.8031824325377
51,MLAC.HZ.220915.1130.20x_CorrectionData.txt,2022-09-15 11:30:00,25.5,15,21,4.7988148587505,9033.356864994048,238.6602575594639,60.721171103494285,81.76687037324466
52,MLAC.HZ.220915.1200.20x.a_CorrectionData.txt,2022-09-15 12:00:00,26.0,15,1,0.23877874887513445,9439.090273525939,210.8431077035021,46.91824862602782,76.92245133063906
53,MLAC.HZ.220915.1200_CorrectionData.txt,2022-09-15 12:00:00,26.0,15,1,0.23877874887513445,9439.090273525939,210.8431077035021,46.91824862602782,76.92245133063906
54,MLAC.HZ.220915.1230.20x_CorrectionData.txt,2022-09-15 12:30:00,26.5,15,21,4.698461431880615,8844.450156937219,229.0941926802633,60.252161598636505,76.69584930344445
55,MLAC.HZ.220915.1300.20x_CorrectionData.txt,2022-09-15 13:00:00,27.0,15,21,3.5521715612573455,6686.657915132747,98.22330655357877,32.022479708466804,33.95038735673436
56,MLAC.HZ.220915.1330.20x_CorrectionData.txt,2022-09-15 13:30:00,27.5,15,21,4.041220752755858,7607.251020175594,163.53324427872099,45.700430473660745,36.687130850081644
57,MLAC.HZ.220915.1400.20x_CorrectionData.txt,2022-09-15 14:00:00,28.0,15,21,4.137390667513049,7788.282625946684,177.41952594027637,45.88758483575318,45.533282086520394
58,MLAC.HZ.220915.1430.20x_CorrectionData.txt,2022-09-15 14:30:00,28.5,15,21,3.7776195617231814,7111.044415269056,190.412279898462,55.43190115097186,57.5445205074713
59,MLAC.HZ.220915.1500.20x_CorrectionData.txt,2022-09-15 15:00:00,29.0,15,21,4.118968438043317,7753.60436101103,159.9962141498165,49.42817547049539,25.166409028821818
60,MLAC.HZ.220915.1530.20x_CorrectionData.txt,2022-09-15 15:30:00,29.5,15,21,4.068302492513871,7658.230069578372,196.27772659598432,45.17145792854286,69.08941465538385
61,MLAC.HZ.220915.1600.20x_CorrectionData.txt,2022-09-15 16:00:00,30.0,15,21,3.822495540661833,7195.519591818032,168.43433517286533,55.43496353998187,37.93595162544106
