well,elapsed,buildup,buildup(m)
PMW-4,0,0,0
PMW-4,12,3.45188112,1.052082024
PMW-4,42,10.21276279,3.112698199
PMW-4,72,3.65343406,1.113512362
PMW-4,102,3.55366918,1.083105511
PMW-4,132,3.35219827,1.021700174
PMW-4,162,3.65597671,1.114287324
PMW-4,192,3.81430458,1.162543304
PMW-4,222,3.96689098,1.209049369
PMW-4,252,4.15775385,1.267221533
PMW-4,282,4.30459878,1.311977684
PMW-4,312,4.41316724,1.345067735
PMW-4,342,4.51408041,1.375824569
PMW-4,372,4.59968299,1.401914962
PMW-4,402,4.66954848,1.423208924
PMW-4,432,4.71474205,1.436983252
PMW-4,462,4.76376327,1.451924191
PMW-4,492,4.84914713,1.477947921
PMW-4,522,4.87711629,1.486472505
PMW-4,552,4.95484486,1.510163017
PMW-4,582,4.98472784,1.519270905
PMW-4,612,5.02609377,1.531878625
PMW-4,642,5.04832146,1.538653295
PMW-4,672,5.11073944,1.557677367
PMW-4,702,5.14255265,1.56737356
PMW-4,732,5.17060384,1.575923145
PMW-4,762,5.20056884,1.585056032
PMW-4,792,5.24584443,1.598855358
PMW-4,822,5.27389561,1.607404941
PMW-4,852,5.30960209,1.618287745
PMW-4,882,5.35870533,1.633253682
PMW-4,912,5.38675651,1.641803264
PMW-4,942,5.44925651,1.660852335
PMW-4,972,5.49070446,1.673485053
PMW-4,"1,002.00",5.51327664,1.680364718
PMW-4,"1,032.00",5.51776045,1.681731317
PMW-4,"1,062.00",5.51458897,1.680764697
PMW-4,"1,092.00",5.53821102,1.687964346
PMW-4,"1,122.00",5.50633219,1.678248153
PMW-4,"1,152.00",5.575886,1.69944712
PMW-4,"1,182.00",5.58611128,1.702563633
PMW-4,"1,212.00",5.60781951,1.709179979
PMW-4,"1,242.00",5.60847568,1.70937997
PMW-4,"1,272.00",5.6378392,1.718329534
PMW-4,"1,302.00",5.65573618,1.723784267
PMW-4,"1,332.00",5.66221584,1.725759171
PMW-4,"1,362.00",5.67635079,1.730067294
PMW-4,"1,392.00",5.7038825,1.738458549
PMW-4,"1,422.00",5.71036216,1.740433453
PMW-4,"1,452.00",5.72832476,1.745908187
PMW-4,"1,482.00",5.72523531,1.744966568
PMW-4,"1,512.00",5.72980114,1.746358165
PMW-4,"1,542.00",5.7362808,1.748333069
PMW-4,"1,572.00",5.74084664,1.749724669
PMW-4,"1,602.00",5.7510063,1.752821183
PMW-4,"1,632.00",5.76440307,1.756904319
PMW-4,"1,662.00",5.77397218,1.759820841
PMW-4,"1,692.00",5.77397218,1.759820841
PMW-4,"1,722.00",5.77397218,1.759820841
PMW-4,"1,752.00",5.77397218,1.759820841
PMW-4,"1,782.00",5.79693806,1.7668205
PMW-4,"1,812.00",5.79693806,1.7668205
PMW-4,"1,842.00",5.82947306,1.776736684
PMW-4,"1,872.00",5.83712835,1.779069902
PMW-4,"1,902.00",5.83330071,1.777903295
PMW-4,"1,932.00",5.83330071,1.777903295
PMW-4,"1,962.00",5.83330071,1.777903295
PMW-4,"1,992.00",5.81990394,1.773820158
PMW-4,"2,022.00",5.84286982,1.780819817
PMW-4,"2,052.00",5.81990394,1.773820158
PMW-4,"2,082.00",5.83330071,1.777903295
PMW-4,"2,112.00",5.85243894,1.783736343
PMW-4,"2,142.00",5.8658357,1.787819476
PMW-4,"2,172.00",5.87923247,1.791902612
PMW-4,"2,202.00",5.88306011,1.79306922
PMW-4,"2,232.00",5.87923247,1.791902612
PMW-4,"2,262.00",5.88306011,1.79306922
PMW-4,"2,292.00",5.87923247,1.791902612
PMW-4,"2,322.00",5.88306011,1.79306922
PMW-4,"2,352.00",5.87923247,1.791902612
PMW-4,"2,382.00",5.88880158,1.794819134
PMW-4,"2,412.00",5.90219835,1.798902271
PMW-4,"2,442.00",5.90602599,1.800068878
PMW-4,"2,472.00",5.8983707,1.79773566
PMW-4,"2,502.00",5.88893282,1.794859134
PMW-4,"2,532.00",5.88001987,1.7921426
PMW-4,"2,562.00",5.88067604,1.792342591
PMW-4,"2,592.00",5.87176309,1.789626056
PMW-4,"2,622.00",5.88198837,1.792742569
PMW-4,"2,652.00",5.91900718,1.804025352
PMW-4,"2,682.00",5.91966335,1.804225343
PMW-4,"2,712.00",5.95285452,1.814341518
