well,elapsed,buildup,buildup(m)
PMW-14,0,0,0
PMW-14,9,0.00246063,0.000749963
PMW-14,29,0,0
PMW-14,49,0,0
PMW-14,69,0.00574147,0.001749915
PMW-14,89,0,0
PMW-14,109,0.01151848,0.003510661
PMW-14,129,0.01157317,0.00352733
PMW-14,149,0.01162785,0.003543996
PMW-14,169,0.02234526,0.006810503
PMW-14,189,0.03388288,0.010326998
PMW-14,209,0.03967903,0.012093578
PMW-14,229,0.04547518,0.013860158
PMW-14,249,0.05127133,0.015626739
PMW-14,269,0.05706748,0.017393319
PMW-14,289,0.07352636,0.022409741
PMW-14,309,0.09080545,0.027676151
PMW-14,329,0.10726433,0.032692572
PMW-14,349,0.11306048,0.034459153
PMW-14,369,0.1245981,0.037975648
PMW-14,389,0.13777614,0.041992118
PMW-14,409,0.14681759,0.044747818
PMW-14,429,0.16076116,0.04899761
PMW-14,449,0.16650263,0.050747525
PMW-14,469,0.18290683,0.055747281
PMW-14,489,0.20013124,0.060997025
PMW-14,509,0.21079397,0.064246867
PMW-14,529,0.21653544,0.065996781
PMW-14,549,0.22227691,0.067746696
PMW-14,569,0.22801838,0.069496611
PMW-14,589,0.23950132,0.07299644
PMW-14,609,0.24770342,0.075496318
PMW-14,629,0.25918636,0.078996148
PMW-14,649,0.2706693,0.082495977
PMW-14,669,0.28215224,0.085995806
PMW-14,689,0.28215224,0.085995806
PMW-14,709,0.28735784,0.087582396
PMW-14,729,0.29927823,0.091215553
PMW-14,749,0.30545714,0.093098793
PMW-14,769,0.31737753,0.096731951
PMW-14,789,0.3366798,0.102614995
PMW-14,809,0.33711725,0.102748324
PMW-14,829,0.40481191,0.123380649
PMW-14,849,0.42739503,0.130263648
PMW-14,869,0.35483378,0.108148059
PMW-14,889,0.3610127,0.110031301
PMW-14,909,0.36145015,0.11016463
PMW-14,929,0.379112,0.115547699
PMW-14,949,0.38529092,0.117430942
PMW-14,969,0.37998689,0.115814352
PMW-14,989,0.39108707,0.119197522
PMW-14,"1,009.00",0.39666176,0.120896605
PMW-14,"1,029.00",0.41339404,0.125996355
PMW-14,"1,049.00",0.41290192,0.125846364
PMW-14,"1,069.00",0.39846622,0.121446577
PMW-14,"1,089.00",0.40945704,0.124796416
PMW-14,"1,109.00",0.42044785,0.128146251
PMW-14,"1,129.00",0.42569719,0.129746172
PMW-14,"1,149.00",0.4358678,0.132846023
PMW-14,"1,169.00",0.43537567,0.132696029
PMW-14,"1,189.00",0.43488355,0.132546038
PMW-14,"1,209.00",0.45161583,0.137645788
PMW-14,"1,229.00",0.49787567,0.151745099
PMW-14,"1,249.00",0.46211452,0.140845632
PMW-14,"1,269.00",0.46736386,0.142445553
PMW-14,"1,289.00",0.44964733,0.137045818
PMW-14,"1,309.00",0.4612779,0.140590643
PMW-14,"1,329.00",0.47243276,0.143990479
PMW-14,"1,349.00",0.47866636,0.145890387
PMW-14,"1,369.00",0.48489995,0.147790293
PMW-14,"1,389.00",0.49113355,0.149690201
PMW-14,"1,409.00",0.50310861,0.153340021
PMW-14,"1,429.00",0.50360074,0.153490015
PMW-14,"1,449.00",0.50901413,0.155139936
PMW-14,"1,469.00",0.50950625,0.155289927
PMW-14,"1,489.00",0.50999838,0.155439921
PMW-14,"1,509.00",0.52771491,0.160839656
PMW-14,"1,529.00",0.53394851,0.162739564
PMW-14,"1,549.00",0.52869917,0.161139643
PMW-14,"1,569.00",0.54805612,0.167039354
PMW-14,"1,589.00",0.55428972,0.168939262
PMW-14,"1,609.00",0.54904037,0.167339339
PMW-14,"1,629.00",0.5495325,0.167489333
PMW-14,"1,649.00",0.56150757,0.171139156
PMW-14,"1,669.00",0.56774116,0.173039061
PMW-14,"1,689.00",0.56249182,0.171439141
PMW-14,"1,709.00",0.57364667,0.174838973
PMW-14,"1,729.00",0.5741388,0.174988967
PMW-14,"1,749.00",0.5803724,0.176888875
PMW-14,"1,769.00",0.58660599,0.178788781
PMW-14,"1,789.00",0.59858106,0.182438604
PMW-14,"1,809.00",0.59333171,0.18083868
PMW-14,"1,829.00",0.59956531,0.182738589
PMW-14,"1,849.00",0.60579891,0.184638497
PMW-14,"1,869.00",0.61121229,0.186288415
PMW-14,"1,889.00",0.61744589,0.188188324
PMW-14,"1,909.00",0.61790247,0.188327482
PMW-14,"1,929.00",0.62982286,0.19196064
PMW-14,"1,949.00",0.6302603,0.192093965
PMW-14,"1,969.00",0.62495628,0.190477379
PMW-14,"1,989.00",0.63687666,0.194110533
PMW-14,"2,009.00",0.63731411,0.194243862
PMW-14,"2,029.00",0.64349302,0.196127101
PMW-14,"2,049.00",0.64393047,0.19626043
PMW-14,"2,069.00",0.65503064,0.199643596
PMW-14,"2,089.00",0.65054683,0.198276998
PMW-14,"2,109.00",0.65590554,0.199910253
PMW-14,"2,129.00",0.66208445,0.201793493
PMW-14,"2,149.00",0.65678043,0.200176906
PMW-14,"2,169.00",0.66295934,0.202060146
PMW-14,"2,189.00",0.66913826,0.203943389
PMW-14,"2,209.00",0.6807743,0.207489881
PMW-14,"2,229.00",0.67503283,0.205739966
PMW-14,"2,249.00",0.6807743,0.207489881
PMW-14,"2,269.00",0.68651577,0.209239796
PMW-14,"2,289.00",0.68651577,0.209239796
PMW-14,"2,309.00",0.68651577,0.209239796
PMW-14,"2,329.00",0.68651577,0.209239796
PMW-14,"2,349.00",0.69143703,0.210739723
PMW-14,"2,369.00",0.6971785,0.212489637
PMW-14,"2,389.00",0.70291997,0.214239552
PMW-14,"2,409.00",0.70866144,0.215989467
PMW-14,"2,429.00",0.70866144,0.215989467
PMW-14,"2,449.00",0.72014438,0.219489296
PMW-14,"2,469.00",0.70866144,0.215989467
PMW-14,"2,489.00",0.71440291,0.217739381
PMW-14,"2,509.00",0.71443845,0.217750213
PMW-14,"2,529.00",0.72023461,0.219516797
PMW-14,"2,549.00",0.72028929,0.219533462
PMW-14,"2,569.00",0.72034397,0.219550128
PMW-14,"2,589.00",0.73106138,0.222816635
PMW-14,"2,609.00",0.72537459,0.221083386
PMW-14,"2,629.00",0.73117074,0.222849966
PMW-14,"2,649.00",0.74270836,0.226366461
PMW-14,"2,669.00",0.74850451,0.228133042
PMW-14,"2,689.00",0.74281772,0.226399793
PMW-14,"2,709.00",0.74861387,0.228166373
PMW-14,"2,729.00",0.74866855,0.228183039
PMW-14,"2,749.00",0.74872323,0.228199704
PMW-14,"2,769.00",0.75451938,0.229966285
PMW-14,"2,789.00",0.75457406,0.22998295
PMW-14,"2,809.00",0.75487754,0.230075447
PMW-14,"2,829.00",0.76105646,0.231958689
