,Easting,Northing,PW1 max buildup,PMW4 max buildup,PMW5 max buildup,PW2 max buildup,PMW3 max buildup,PMW6 max buildup
PW-1,480871.0,4980065.0,0.557756781,0.054074029,0.225655663,0.087717388,0.145074593,0.184742658
PMW-6,480716.0,4980072.0,0.061996977,-0.002999854,0.04899761,0.06499683,0.31598459,1.527925486
PMW-3,480770.0,4980128.0,0.079076144,0.015469244,0.076912917,0.104604898,2.29850124,0.329537263
PMW-10,480776.0,4980041.0,0.093995416,0.005999707,0.093995416,0.128993709,0.167991807,0.170991661
PMW-14,480801.0,4980100.0,,,,0.112510344,0.441575965,0.307137522
PW-2,480794.0,4980047.0,0.043494547,0.013719333,0.037248183,1.688509601,0.111691219,0.001389933
PMW-9,480867.0,4980126.0,0.001999902,0.000999951,0.000999951,0.018999073,0.003999805,0.002999854
PZ-1,480821.0,4980031.0,0.388227732,0.073799735,0.222739137,0.108688034,0.158355611,0.197710357
PMW-4,480877.0,4979962.0,0.051117507,1.814341518,0.062330296,0.016780847,0.03361836,0.045377787
PMW-5,480768.0,4979939.0,0.10499488,0.030998488,1.872908662,0.054997318,0.108994685,0.147992783
OW24P,480646.0,4980201.0,0.003896477,0.003153179,0.005166413,0.000476644,0.013770994,0.025560421
OW23P,480654.0,4980078.0,0.015950055,0.010936132,0.012749378,0.007263813,0.052964916,0.094277903
OW17P,480722.0,4980247.0,0.008629579,0.009119555,0.003416498,0.004630607,0.0498984,0.050680027
MLAC_center,480788.0,4980060.0,,,,,,
